0	0	1033.0	461.5
10	0	1017.5	467.5
20	0	983.0	467.5
30	0	937.0	463.0
40	0	888.0	455.5
50	0	839.0	448.5
60	0	790.0	440.5
70	0	741.0	433.5
80	0	692.0	426.0
90	0	630.0	433.0
100	0	555.0	445.5
110	0	487.5	462.5
120	0	430.0	483.0
130	0	413.0	505.0
140	0	421.0	529.5
150	0	429.5	549.5
160	0	439.0	575.0
170	0	449.0	594.5
180	0	461.0	604.5
0	1	950.0	365.0
10	1	979.5	359.5
20	1	1009.5	355.0
30	1	1039.0	350.0
40	1	991.0	357.5
50	1	805.0	381.5
60	1	615.0	401.5
70	1	433.5	418.5
80	1	288.5	432.0
90	1	288.5	432.0
100	1	288.5	432.0
110	1	288.5	432.0
120	1	288.5	432.0
130	1	288.5	432.0
140	1	288.5	432.0
150	1	288.5	432.0
160	1	288.5	432.0
170	1	288.5	432.0
180	1	288.5	432.0
0	2	959.0	333.5
10	2	989.0	325.5
20	2	1020.0	318.5
30	2	1050.0	310.5
40	2	1081.0	303.5
50	2	1111.0	295.5
60	2	1057.0	309.5
70	2	930.5	335.0
80	2	756.0	356.5
90	2	607.5	367.5
100	2	485.0	371.0
110	2	354.5	375.0
120	2	241.5	375.5
130	2	269.0	370.5
140	2	360.0	369.5
150	2	430.5	368.0
160	2	501.5	367.5
170	2	572.5	366.0
180	2	643.5	365.5
0	3	212.0	104.5
10	3	212.0	104.5
20	3	212.0	104.5
30	3	212.0	104.5
40	3	212.0	104.5
50	3	212.0	104.5
60	3	212.0	104.5
70	3	212.0	104.5
80	3	212.0	104.5
90	3	212.0	104.5
100	3	212.0	104.5
110	3	212.0	104.5
120	3	212.0	104.5
130	3	212.0	104.5
140	3	212.0	104.5
150	3	212.0	104.5
160	3	212.0	104.5
170	3	212.0	104.5
180	3	212.0	104.5
0	4	816.0	97.0
10	4	816.0	97.0
20	4	816.0	97.0
30	4	816.0	97.0
40	4	816.0	97.0
50	4	816.0	97.0
60	4	816.0	97.0
70	4	816.0	97.0
80	4	816.0	97.0
90	4	816.0	97.0
100	4	816.0	97.0
110	4	816.0	97.0
120	4	816.0	97.0
130	4	816.0	97.0
140	4	816.0	97.0
150	4	816.0	97.0
160	4	816.0	97.0
170	4	816.0	97.0
180	4	816.0	97.0
0	5	327.5	198.0
10	5	327.5	198.0
20	5	327.5	198.0
30	5	327.5	198.0
40	5	327.5	198.0
50	5	327.5	198.0
60	5	327.5	198.0
70	5	327.5	198.0
80	5	327.5	198.0
90	5	327.5	198.0
100	5	327.5	198.0
110	5	327.5	198.0
120	5	327.5	198.0
130	5	327.5	198.0
140	5	327.5	198.0
150	5	327.5	198.0
160	5	327.5	198.0
170	5	327.5	198.0
180	5	327.5	198.0
0	6	289.5	171.5
10	6	289.5	171.5
20	6	289.5	171.5
30	6	289.5	171.5
40	6	289.5	171.5
50	6	289.5	171.5
60	6	289.5	171.5
70	6	289.5	171.5
80	6	289.5	171.5
90	6	289.5	171.5
100	6	289.5	171.5
110	6	289.5	171.5
120	6	289.5	171.5
130	6	289.5	171.5
140	6	289.5	171.5
150	6	289.5	171.5
160	6	289.5	171.5
170	6	289.5	171.5
180	6	289.5	171.5
